Id,info
1," В, С"
2," В, С, М, кусок квасцов, пропитанный уксусом для эффекта антипатии или капля мёда для эффекта симпатии"
3, В
4," В, С, М, крошечный контейнер, стоящий как минимум 1 000 зм, хранящий священную реликвию, такую как лоскут ткани с мантии святого или кусочек пергамента с религиозным текстом"
5," В, С, М, кусок овечьей шерсти"
6," В, С, М, пепел от сожжённого листа омелы и еловая ветка"
7," В, С, М, капля святой воды"
8," В, С, М, жемчужина, стоящая как минимум 100 зм, расходуемая заклинанием"
9," В, С, М, кристаллическая призма"
10," В, С, М, колчан, содержащий как минимум один боеприпас"
11," В, С, М, веточка дерева, в которое ударила молния"
12," В, С, М, миниатюрная дверь из слоновой кости, кусочек полированного мрамора и крошечная серебряная ложка; каждый предмет должен стоить как минимум 5 зм"
13," В, С, М, крошечный серебряный свисток, кусочек кости и нитка"
14," В, С, М, порошок рубина на 50 зм, расходуемый заклинанием"
15," В, С, М, горсть песка, капля чернил и перо, выдернутое у спящей птицы"
16," В, С, М, щепотка талька и толченого серебра"
17," В, С, М, капля воды и щепотка пыли"
18, С
19," В, С, М, горящее благовоние и кусочки земли и дерева, смешанные с водой"
20," В, М, язык змеи и либо кусочек медовых сот, либо капля сладкого масла"
21," В, С, М, лист дерева или бумаги, свёрнутый в трубочку"
22," В, С, М, капля воды"
23," В, С, М, бриллиант, стоящий 300 зм, расходуемый заклинанием"
24," В, С, М, кусочек медовых сот и порошок нефрита, стоящий как минимум 10 зм, расходуемые заклинанием"
25," В, С, М, золотая пыль, стоящая как минимум 25 зм, расходуемая заклинанием"
26," В, С, М, драгоценный камень, кристалл, реликварий или другой украшенный контейнер, стоящий как минимум 500 зм"
27," В, С, М, бриллиант, стоящий как минимум 1 000 зм, расходуемый заклинанием"
28," В, С, М, капля крови, кусочек плоти и щепотка костной пыли"
29," В, С, М, бриллиант, стоящий как минимум 5 000 зм"
30," В, С, М, бриллиантовая пыль, стоящая как минимум 100 зм, расходуемая заклинанием"
31," В, С, М, особые палочки, костяшки или фигурки с отметинами, стоящие как минимум 25 зм"
32," В, С, М, кусок марли и клуб дыма"
33," С, М, зажженная палочка благовоний или хрустальный сосуд, заполненный фосфоресцирующим материалом"
34," В, С, М, маринованное щупальце осьминога"
35," В, С, М, лист сумаха"
36," В, С, М, горсть железных опилок"
37," В, С, М, щепотка пыли и несколько капель воды"
38," С, М, оружие ближнего боя стоимостью не менее 1 см"
39," В, С, М, железный клинок и небольшая сумка со смесью из глины, перегноя и песка"
40," В, С, М, алмаз, стоящий как минимум 1 000 зм, и как минимум 1 кубический дюйм плоти существа, расходуемый заклинанием, а также сосуд, стоящий как минимум 2 000 зм с запираемой крышкой и достаточно большой, чтобы вместить существо реднего размера, например, огромная урна, гроб, яма в земле или кристаллический контейнер, заполненный солёной водой"
41," В, С, М, яичная скорлупа и перчатка из змеиной кожи"
42," В, С, М, чашка воды"
43," В, С, М, кусочек выделанной кожи"
44," В, С, М, кусочек слюды"
45," С, М, щепотка песка"
46," В, С, М, сапфир стоимостью 1 000 зм"
47," С, М, небольшое количество грима, наносимое на лицо при накладывании этого заклинания"
48," В, С, М, кусочек пищи"
49," В, С, М, омела, лист клевера и дубинка или боевой посох"
50," В, С, М, пригоршня дубовой коры"
51," В, С, М, символ веры"
52," В, С, М, острый перец"
53," В, С, М, катушка с платиновым шнуром стоимостью не менее 250 зм, расходуемая заклинанием"
54," В, С, М, капля желчи гигантского слизня"
55," В, С, М, маленькие пирожные и перо, которым нужно махать в воздухе"
56," В, С, М, как минимум четыре стрелы или арбалетных болта"
57," В, С, М, кусок овечьей шерсти и порошок нефрита, стоящий как минимум 25 зм"
58," В, С, М, капля патоки"
59," В, С, М, крошечный шарик из гуано летучей мыши и серы"
60," В, С, М, немного святой воды, редкие благовония и толчёный рубин, стоящий как минимум 1 000 зм"
61," В, С, М, рисунок или резная статуэтка, изображающая цель, и особый компонент, зависящий от выбранной версии заклинания, стоящий как минимум 500 зм за каждую Кость Хитов цели"
62," В, С, М, святая вода или порошок серебра и железа, расходуемые заклинанием"
63," В, С, М, кусочек меха, завёрнутый в ткань"
64," В, С, М, щепотка земли, кусочек камня и комочек глины"
65," В, С, М, крохотная рука, слепленная из глины"
66," В, С, М, тухлое яйцо или несколько гнилых листьев капусты"
67," В, С, М, ртуть, фосфор и толчённые алмаз с опалом, общей стоимостью как минимум 1 000 зм, расходуемые заклинанием"
68," В, С, М, благовония, стоящие как минимум 250 зм, расходуемые заклинанием, и четыре пластинки из слоновой кости, стоящие как минимум 50 зм каждая"
69," В, С, М, кусочек обсидиана"
70," В, С, М, неприятный для цели предмет"
71," В, С, М, магнетит и железные опилки"
72," В, С, М, мягкая глина, из которой делается грубая копия желаемого каменного предмета"
73," В, С, М, смесь порошков из бриллианта, изумруда, рубина и сапфира, стоящая как минимум 5 000 зм, расходуемая заклинанием"
74," В, С, М, рубин стоимостью не менее 999 зм"
75," В, С, М, немного святой воды и бриллианты, стоящие как минимум 25 000 зм, расходуемые заклинанием"
76," В, С, М, мазь для глаз, стоящая 25 зм; изготавливается из грибного порошка, шафрана и жира; расходуется заклинанием"
77," В, С, М, капля ртути, немного гуммиарабика и клуб дыма"
78," В, С, М, тонкий свинцовый лист, кусок матового стекла, шарик из ваты или ткани и толченый хризолит"
79," В, С, М, пыль бриллианта, стоящего 100 зм, расходуемая заклинанием"
80," В, С, М, небольшой кусочек гранита"
81," В, С, М, крошечная серебряная клетка стоимостью 100 зм"
82," В, М, оружие ближнего боя стоимостью не менее 1 см"
83," В, С, М, небольшой кристаллический или стеклянный конус"
84," В, С, М, порошок растолчённой чёрной жемчужины, стоящей как минимум 500 зм"
85," В, М, редкие мелки и чернила с основой из драгоценных камней стоимостью 50 зм, расходуемые заклинанием"
86," В, С, М, либо маленькая кожаная петля, либо кусочек золотой проволоки, согнутый в форме кубка с длинной ножкой"
87," В, С, М, небольшой кусочек кварца"
88," С, М, капля воды или кусочек льда"
89," В, С, М, изысканный сундук, 90?60?60 сантиметров, созданный из редких материалов, и стоящий как минимум 5 000 зм, и его копия Крошечного размера, изготовленная из того же материала, стоящая как минимум 50 зм"
90," В, С, М, маленькая кристаллическая бусина"
91," В, С, М, несколько семечек лунносемянника и кусочек опалесцирующего полевого шпата"
92," В, С, М, мех летучей мыши"
93," В, С, М, святая вода или порошок серебра и железа, стоящий как минимум 100 зм, расходуемые заклинанием"
94," С, М, кусок овечьей шерсти"
95," В, С, М, порошок из листьев ревеня и желудок гадюки"
96," В, С, М, селитра, сера и хвойная смола в форме шарика"
97," В, С, М, кусочки яичной скорлупы двух разных видов существ"
98," В, С, М, миниатюрный платиновый меч с рукояткой и навершием из меди и цинка, стоящий 250 зм"
99," В, С, М, камень, ветка, и кусочек зеленого растения"
100," В, С, М, кокон гусеницы"
101," В, С, М, бриллиант стоимостью не менее 500 зм, расходуемый заклинанием"
102," В, С, М, кусочек меха и жезл из янтаря, кристалла или стекла"
103," В, С, М, фокусировка, стоящая как минимум 1 000 зм, такая как хрустальный шар, серебряное зеркало или чаша со святой водой"
104," В, С, М, живая блоха"
105," В, С, М, несколько крупинок сахара, немного зёрнышек и капля жира"
106," В, С, М, щепотка серы"
107," С, М, свинцовые чернила, стоящие как минимум 10 зм, расходуемые заклинанием"
108," В, С, М, ресница в смоле"
109," В, С, М, часть тетивы и кусочек дерева"
110," В, С, М, золотая пыль стоимостью не менее 25 зм, расходуемая заклинанием"
111," В, С, М, щепотка алмазной пыли, стоящая 25 зм, которой посыпается цель, расходуемая заклинанием"
112," В, С, М, щепотка соли и по одной медной монетке на каждый глаз трупа, которые должны оставаться там все время, пока активно заклинание"
113," В, С, М, небольшой кусочек адамантина стоящий не менее 500 зм, потребляемый при заклинании"
114," В, С, М, небольшой лоскут шелка"
115," В, С, М, осколок стекла"
116," В, С, М, глазное яблоко нежити, заключенное в драгоценный камень стоимостью не менее 150 зм"
117," В, С, М, лист тиса"
118," В, С, М, медная монетка"
119," В, С, М, благовоние и флакон святой или нечестивой воды"
120," В, С, М, небольшой кусочек фосфора"
121," В, С, М, кусочек фосфора или светлячок"
122," В, С, М, капля смолы, смешанная с каплей ртути"
123," В, С, М, бриллиант, стоящий как минимум 500 зм, расходуемый заклинанием"
124," В, С, М, щепотка извести, воды и земли"
125," В, С, М, жемчужина, стоящая как минимум 100 зм, и перо совы"
126," В, С, М, маленький хрустальный шар"
127," В, С, М, полусферический кусочек чистого кристалла и такая же по размерам полусфера из гуммиарабика"
128," В, С, М, благовония и растолченный бриллиант, стоящий как минимум 200 зм, расходуемый заклинанием"
129," В, С, М, пара платиновых колец, стоящая как минимум 50 зм каждое, которые вы с целью должны носить на время действия заклинания"
130," В, М, небольшое перо или кусочек пуха"
131," В, С, М, капля битума и паук"
132," В, С, М, кусочек паутины"
133," В, С, М, чешуйка красного дракона"
134," В, С, М, горсть песка"
135," В, С, М, инкрустируемая драгоценными камнями чаша, стоящая как минимум 1 000 зм, расходуемая заклинанием"
136," В, С, М, ювелирное украшение, стоящее как минимум 1 000 зм, расходуемое заклинанием"
137," В, С, М, кусочек меха; кусок янтаря, стекла или кристаллический жезл; три серебряные булавки"
138," В, С, М, кусочек фосфора, гнилушка или светлячок"
139," В, С, М, камыш или соломинка"
140," В, С, М, полоска белой ткани"
141," В, С, М, снег или лёд в количестве, достаточном для создания точной копии существа; немного волос, обрезков ногтей или других частей тела этого существа, помещаемые в снег или лёд; и толчёный рубин стоимостью 1 500 зм, которым посыпается копия, и который расходуется заклинанием"
142," В, С, М, фокусировка, стоящая как минимум 100 зм, и либо украшенный камнями рог для подслушивания, либо стеклянный глаз для подсматривания"
143," В, С, М, кусочек меха ищейки"
144," В, С, М, раздвоенная веточка"
145," В, С, М, набор инструментов для ворожбы — такой как кости, палочки из слоновой кости, карты, зубы или резные руны — стоящий 100 зм, а также предмет из места, которое вы хотите найти"
146," В, С, М, стоящие 10 зм уголь, благовония и травы, сжигаемые в огне или латунной жаровне"
147," В, С, М, перо из крыла любой птицы"
148," В, С, М, нефритовый обруч, стоящий как минимум 1 500 зм, который вы должны надеть на голову перед накладыванием заклинания"
149," В, С, М, щепотка сажи и соли"
150," В, С, М, капля крови"
151," В, С, М, семя гороха"
152," В, С, М, кусок тонкой медной проволоки"
153," В, С, М, сломанная кость и квадрат черного шелка"
154," В, С, М, два магнетита"
155," В, С, М, щепотка толчёного железа или железная стружка"
156," В, С, М, перо колибри"
157," В, С, М, ваша статуэтка, вырезанная из слоновой кости, украшенная драгоценными камнями и стоящая как минимум 1 500 зм"
158," В, С, М, благовония и жертвенное подношение, подходящее вашей религии, стоящие вместе как минимум 25 зм, расходуемые заклинанием"
159," В, С, М, глина и вода"
160," В, С, М, сосуд с кровью гуманоида, убитого за последние 24 часа"
161," В, С, М, метательное оружие или один боеприпас"
162," В, С, М, по одной ягоде падуба за каждое призываемое существо"
163," В, С, М, вода и песок для водяного, горящее благовоние для воздушного, мягкая глина для земляного или сера и фосфор для огненного"
164," В, С, М, щепотка кладбищенской земли"
165," В, С, М, агат, стоящий как минимум 1 000 зм, расходуемый заклинанием"
166," В, С, М, ваша небольшая копия, изготовленная из материала, стоящего не менее 5 зм"
167," В, С, М, для каждого существа требуется по одному гиацинту, стоящему как минимум 1 000 зм, и по одному бруску серебра с орнаментом, стоящему как минимум 100 зм; все компоненты расходуются заклинанием"
168," В, С, М, задняя лапка кузнечика"
169," В, С, М, небольшое количество алкоголя или дистиллированного спирта"
170," В, С, М, кусок сала, щепотка серы и толченого железа"
171," В, С, М, щепотка пыли"
172," В, С, М, горящие благовония"
173," В, С, М, кусок железа и пламя"
174," В, С, М, магнетит и щепотка пыли"
175," В, С, М, кулон солнечных лучей, стоимостью не менее 100 зм"
176," В, С, М, святая вода или порошок серебра и железа"
177," В, С, М, маленькая железная девятиконечная звезда"
178," В, С, М, молитвенный барабан и святая вода"
179," В, С, М, редкие масла и мази, стоящие как минимум 1 000 зм, расходуемые заклинанием"
180," В, С, М, омела, расходуемая заклинанием, которая была собрана золотым серпом под светом полной луны"
181," В, С, М, щепотка порошка или песка, окрашенного в красный, желтый и синий цвет"
182," В, М, светлячок или фосфоресцирующий мох"
183," В, С, М, кожаный ремешок, обмотанный вокруг предплечья или аналогичной конечности"
184," В, С, М, травы, масла и благовония, стоящие как минимум 1 000 зм, расходуемые заклинанием"
185," В, С, М, окаменевший глаз тритона"
186," В, С, М, колокольчик и серебряная проволочка"
187," В, С, М, щепотка порошка толчёного прозрачного драгоценного камня"
188," В, С, М, 25 футов веревки, потребляемой при заклинании"
189," В, С, М, кусок масла или свиного сала"
190," В, С, М, щепотка земли"
191," В, С, М, пригоршня глиняных, кристаллических, стеклянных или минеральных шариков"
192," В, С, М, священный символ"
193," В, М, соломинка"
194," В, С, М, три ореховые скорлупки"
195," В, С, М, кусочек льда или маленький осколок белого камня"
196," В, С, М, щепотка кунжутного семени"
197," В, С, М, увеличительное стекло"
198," В, С, М, огонь и кусочек солнечного камня"
199," В, С, М, кусочек медной проволоки"
200," В, С, М, крошечный плащ"
201," В, С, М, крошечный кусочек материи того же вида, из которого вы планируете создать предмет"
202," В, С, М, Глина, пепел и корень мандрагоры, расходуемые заклинанием, и кинжал с инкрустированными драгоценными камнями стоимостью не менее 1000 зм."
203," В, С, М, капля воды, если вода создаётся, или несколько песчинок, если вода уничтожается"
204," В, С, М, глиняный горшок с могильной землёй, глиняный горшок с солоноватой водой и по одному чёрному ониксу стоимостью 150 зм на каждый труп"
205," В, С, М, крошечный веер и перо экзотического происхождения"
206," В, С, М, ручное зеркальце"
207," В, С, М, горящее благовоние, немного серы и масла, завязанная узлом тетива, немного крови бурого увальня и маленький серебряный жезл, стоящий как минимум 10 зм"
208," В, С, М, стеклянная или кристаллическая бусина, рассыпающаяся, когда заклинание заканчивается"
209," В, С, М, два переплетённых серебряных кольца"
210," В, С, М, осколок оникса и капля крови заклинателя, расходуемые заклинанием"
211," В, С, М, щепотка сушеной морковки или агат"
212," В, С, М, капля ртути"
213," В, С, М, пригоршня шипов"
214," В, С, М, стебель растения с шипами"
215," В, С, М, несколько волосков быка"
216," В, С, М, экстракт зерна и петля из пергамента"
217," В, М, мех летучей мыши и либо капля дегтя, либо кусочек угля"
218," В, С, М, маленькое серебряное зеркало"
219," В, С, М, щепотка толченого железа"
220," В, С, М, оружие ближнего боя стоимостью не менее 1 см"
221," В, С, М, небольшой прямой кусочек железа"
222," В, С, М, белое перо или сердце курицы"
223," В, С, М, кусочек губки"
224," В, С, М, порошок рубина, стоящий 1 500 зм"
225," В, С, М, мех или перо зверя"
226," В, С, М, стружка корня лакрицы"
227," В, С, М, щепотка мелкого песка, лепестки розы или сверчок"
228," В, С, М, песочные часы, наполненные алмазной пылью стоимостью не менее 5000 зм, поглощаемые заклинанием"
229," В, С, М, раздвоенный металлический прут, стоящий как минимум 250 зм, настроенный на конкретный план существования"
230," В, С, М, огонь и святая вода"
231," В, С, М, кусочек пробки"
232," В, С, М, святой символ, стоимостью не менее 5 зм"
233," В, С, М, алмаз, стоящий как минимум 50 зм"
234," В, С, М, шарик из черного мрамора"
235," В, С, М, порошок серебра стоимостью  25 зм, расходуемый заклинанием"
236," В, С, М, ветка омелы"
237," В, С, М, семь острых шипов или семь заострённых веточек"
238," В, С, М, небольшой пергамент со святыми письменами"
239," В, С, М, кусочек щупальца гигантского осьминога или гигантского кальмара"
240," В, М, маленькая глиняная модель зиккурата"
